Date,log_ret,Index
20/04/2018,-0.042776198,417
23/04/2018,-0.008133087,418
24/04/2018,-0.017645166,419
25/04/2018,0.00735411,420
26/04/2018,0.005893565,421
27/04/2018,-0.016913983,422
30/04/2018,0.007504609,423
01/05/2018,0.020972307,424
02/05/2018,0.050324713,425
03/05/2018,0.003682509,426
04/05/2018,0.021150429,427
07/05/2018,0.036265409,428
08/05/2018,-0.005891203,429
09/05/2018,0.008431951,430
10/05/2018,0.013034218,431
11/05/2018,-0.001066382,432
14/05/2018,0.002184861,433
15/05/2018,-0.014800785,434
16/05/2018,0.004850454,435
17/05/2018,0.001933613,436
18/05/2018,-0.001234933,437
21/05/2018,0.004184003,438
22/05/2018,-0.000697904,439
23/05/2018,-0.005475936,440
24/05/2018,0.002419551,441
25/05/2018,0.007703456,442
29/05/2018,-0.004165338,443
30/05/2018,-0.000481734,444
31/05/2018,-0.003432375,445
01/06/2018,0.008612212,446
04/06/2018,0.018992921,447
05/06/2018,0.005264405,448
06/06/2018,-0.002289998,449
07/06/2018,0.002161065,450
08/06/2018,-0.013426871,451
11/06/2018,0.002315912,452
12/06/2018,0.004929735,453
13/06/2018,-0.003721276,454
14/06/2018,-0.001155887,455
15/06/2018,-0.010357311,456
18/06/2018,-0.005646422,457
19/06/2018,-0.020235413,458
20/06/2018,0.012351855,459
21/06/2018,-0.004262558,460
22/06/2018,-0.001298561,461
25/06/2018,-0.021728682,462
26/06/2018,0.009965122,463
27/06/2018,0.008129461,464
28/06/2018,-0.001250578,465
29/06/2018,-0.004853981,466
02/07/2018,0.002784377,467
03/07/2018,0.000654022,468
05/07/2018,0.004023713,469
06/07/2018,0.004979982,470
09/07/2018,0.021896736,471
10/07/2018,0.004637934,472
11/07/2018,-0.013605652,473
12/07/2018,0.009020543,474
13/07/2018,0.008363848,475
16/07/2018,-0.00254488,476
17/07/2018,-0.006400194,477
18/07/2018,0.003850927,478
19/07/2018,-0.001264422,479
20/07/2018,0.002527248,480
23/07/2018,-0.003212812,481
24/07/2018,0.013050158,482
25/07/2018,0.001976696,483
26/07/2018,0.006113375,484
27/07/2018,-0.018295577,485
30/07/2018,-0.005432933,486
31/07/2018,0.001427024,487
01/08/2018,0.041231755,488
02/08/2018,0.015289741,489
03/08/2018,0.025284815,490
06/08/2018,0.007706248,491
07/08/2018,-0.0014982,492
08/08/2018,-0.01089293,493
09/08/2018,0.01301874,494
10/08/2018,-0.002561192,495
13/08/2018,0.004971413,496
14/08/2018,0.002692568,497
15/08/2018,0.000336062,498
16/08/2018,0.014959784,499
17/08/2018,0.007959913,500
20/08/2018,0.009106468,501
21/08/2018,-0.00505576,502
22/08/2018,-0.000865693,503
23/08/2018,0.003547758,504
24/08/2018,0.002373695,505
27/08/2018,0.005655494,506
28/08/2018,0.011901347,507
29/08/2018,0.002235759,508
30/08/2018,0.013535437,509
