,underlying_symbol,quote_datetime,expiration,strike,option_type,close,bid,ask,active_underlying_price,mid_price,years_to_maturity,Option,Stock
38,MSFT,01/12/2020 10:08,17/09/2021,190,C,0,34.8,35.55,213.74,35.175,0.793976728,35.09,213.766
39,MSFT,01/12/2020 10:09,17/09/2021,190,C,0,34.85,35.45,213.937,35.15,0.793976728,35.105,213.7774
40,MSFT,01/12/2020 10:10,17/09/2021,190,C,0,34.95,35.55,214.06,35.25,0.793976728,35.13,213.8314
41,MSFT,01/12/2020 10:11,17/09/2021,190,C,0,35,35.5,214.015,35.25,0.793976728,35.175,213.9044
42,MSFT,01/12/2020 10:12,17/09/2021,190,C,0,35.05,35.6,214.13,35.325,0.793976728,35.23,213.9764
43,MSFT,01/12/2020 10:13,17/09/2021,190,C,0,34.95,35.6,213.854,35.275,0.793976728,35.25,213.9992
44,MSFT,01/12/2020 10:14,17/09/2021,190,C,0,34.95,35.4,213.899,35.175,0.793976728,35.255,213.9916
45,MSFT,01/12/2020 10:15,17/09/2021,190,C,0,34.95,35.35,213.8,35.15,0.793976728,35.235,213.9396
46,MSFT,01/12/2020 10:16,17/09/2021,190,C,0,34.8,35.3,213.74,35.05,0.793976728,35.195,213.8846
47,MSFT,01/12/2020 10:17,17/09/2021,190,C,0,34.95,35.5,214.05,35.225,0.793976728,35.175,213.8686
48,MSFT,01/12/2020 10:18,17/09/2021,190,C,0,35,35.5,213.901,35.25,0.793976728,35.17,213.878
49,MSFT,01/12/2020 10:19,17/09/2021,190,C,0,35,35.5,214.02,35.25,0.793976728,35.185,213.9022
50,MSFT,01/12/2020 10:20,17/09/2021,190,C,0,35.05,35.5,213.99,35.275,0.793976728,35.21,213.9402
51,MSFT,01/12/2020 10:21,17/09/2021,190,C,0,35.1,35.6,214.168,35.35,0.793976728,35.27,214.0258
52,MSFT,01/12/2020 10:22,17/09/2021,190,C,0,35.2,35.6,214.22,35.4,0.793976728,35.305,214.0598
53,MSFT,01/12/2020 10:23,17/09/2021,190,C,0,35.2,35.6,214.17,35.4,0.793976728,35.335,214.1136
54,MSFT,01/12/2020 10:24,17/09/2021,190,C,0,35.05,35.5,213.981,35.275,0.793976728,35.34,214.1058
55,MSFT,01/12/2020 10:25,17/09/2021,190,C,0,34.8,35.4,213.96,35.1,0.793976728,35.305,214.0998
56,MSFT,01/12/2020 10:26,17/09/2021,190,C,0,34.8,35.35,213.84,35.075,0.793976728,35.25,214.0342
57,MSFT,01/12/2020 10:27,17/09/2021,190,C,0,34.9,35.3,213.78,35.1,0.793976728,35.19,213.9462
58,MSFT,01/12/2020 10:28,17/09/2021,190,C,0,34.9,35.3,213.81,35.1,0.793976728,35.13,213.8742
59,MSFT,01/12/2020 10:29,17/09/2021,190,C,0,35,35.5,214.03,35.25,0.793976728,35.125,213.884
60,MSFT,01/12/2020 10:30,17/09/2021,190,C,0,35.05,35.35,213.852,35.2,0.793976728,35.145,213.8624
61,MSFT,01/12/2020 10:31,17/09/2021,190,C,0,34.9,35.3,213.71,35.1,0.793976728,35.15,213.8364
62,MSFT,01/12/2020 10:32,17/09/2021,190,C,0,34.75,35.4,213.93,35.075,0.793976728,35.145,213.8664
63,MSFT,01/12/2020 10:33,17/09/2021,190,C,0,34.85,35.45,214.02,35.15,0.793976728,35.155,213.9084
64,MSFT,01/12/2020 10:34,17/09/2021,190,C,0,35.05,35.5,214.03,35.275,0.793976728,35.16,213.9084
65,MSFT,01/12/2020 10:35,17/09/2021,190,C,0,35.1,35.45,213.95,35.275,0.793976728,35.175,213.928
66,MSFT,01/12/2020 10:36,17/09/2021,190,C,0,35.1,35.65,214.15,35.375,0.793976728,35.23,214.016
67,MSFT,01/12/2020 10:37,17/09/2021,190,C,0,35.15,35.65,214.21,35.4,0.793976728,35.295,214.072
68,MSFT,01/12/2020 10:38,17/09/2021,190,C,0,35.2,35.55,214.05,35.375,0.793976728,35.34,214.078
69,MSFT,01/12/2020 10:39,17/09/2021,190,C,0,35.2,35.5,214,35.35,0.793976728,35.355,214.072
70,MSFT,01/12/2020 10:40,17/09/2021,190,C,0,34.95,35.4,213.806,35.175,0.793976728,35.335,214.0432
71,MSFT,01/12/2020 10:41,17/09/2021,190,C,0,35,35.4,213.76,35.2,0.793976728,35.3,213.9652
72,MSFT,01/12/2020 10:42,17/09/2021,190,C,0,34.75,35.3,213.714,35.025,0.793976728,35.225,213.866
73,MSFT,01/12/2020 10:43,17/09/2021,190,C,0,34.8,35.3,213.71,35.05,0.793976728,35.16,213.798
74,MSFT,01/12/2020 10:44,17/09/2021,190,C,0,34.85,35.25,213.68,35.05,0.793976728,35.1,213.734
75,MSFT,01/12/2020 10:45,17/09/2021,190,C,0,34.9,35.25,213.68,35.075,0.793976728,35.08,213.7088
76,MSFT,01/12/2020 10:46,17/09/2021,190,C,0,34.9,35.3,213.715,35.1,0.793976728,35.06,213.6998
77,MSFT,01/12/2020 10:47,17/09/2021,190,C,0,34.9,35.25,213.638,35.075,0.793976728,35.07,213.6846
78,MSFT,01/12/2020 10:48,17/09/2021,190,C,0,34.65,35.25,213.495,34.95,0.793976728,35.05,213.6416
79,MSFT,01/12/2020 10:49,17/09/2021,190,C,0,34.75,35.1,213.446,34.925,0.793976728,35.025,213.5948
80,MSFT,01/12/2020 10:50,17/09/2021,190,C,0,34.75,35.2,213.63,34.975,0.793976728,35.005,213.5848
81,MSFT,01/12/2020 10:51,17/09/2021,190,C,0,34.85,35.4,213.83,35.125,0.793976728,35.01,213.6078
82,MSFT,01/12/2020 10:52,17/09/2021,190,C,0,34.95,35.35,213.75,35.15,0.793976728,35.025,213.6302
83,MSFT,01/12/2020 10:53,17/09/2021,190,C,0,35,35.4,213.77,35.2,0.793976728,35.075,213.6852
84,MSFT,01/12/2020 10:54,17/09/2021,190,C,0,35,35.35,213.835,35.175,0.793976728,35.125,213.763
85,MSFT,01/12/2020 10:55,17/09/2021,190,C,0,35,35.4,213.81,35.2,0.793976728,35.17,213.799
86,MSFT,01/12/2020 10:56,17/09/2021,190,C,0,35,35.4,213.85,35.2,0.793976728,35.185,213.803
87,MSFT,01/12/2020 10:57,17/09/2021,190,C,0,35,35.45,213.9,35.225,0.793976728,35.2,213.833
88,MSFT,01/12/2020 10:58,17/09/2021,190,C,0,35.05,35.45,213.91,35.25,0.793976728,35.21,213.861
89,MSFT,01/12/2020 10:59,17/09/2021,190,C,0,35.1,35.5,213.96,35.3,0.793976728,35.235,213.886
90,MSFT,01/12/2020 11:00,17/09/2021,190,C,0,35.05,35.4,213.91,35.225,0.793976728,35.24,213.906
91,MSFT,01/12/2020 11:01,17/09/2021,190,C,0,35.1,35.5,213.93,35.3,0.793976728,35.26,213.922
92,MSFT,01/12/2020 11:02,17/09/2021,190,C,0,35.1,35.5,213.994,35.3,0.793976728,35.275,213.9408
93,MSFT,01/12/2020 11:03,17/09/2021,190,C,0,34.9,35.55,213.98,35.225,0.793976728,35.27,213.9548
94,MSFT,01/12/2020 11:04,17/09/2021,190,C,0,35,35.55,214.1,35.275,0.793976728,35.265,213.9828
95,MSFT,01/12/2020 11:05,17/09/2021,190,C,0,35.05,35.7,214.21,35.375,0.793976728,35.295,214.0428
96,MSFT,01/12/2020 11:06,17/09/2021,190,C,0,35.2,35.65,214.23,35.425,0.793976728,35.32,214.1028
97,MSFT,01/12/2020 11:07,17/09/2021,190,C,0,35.2,35.7,214.22,35.45,0.793976728,35.35,214.148
98,MSFT,01/12/2020 11:08,17/09/2021,190,C,0,35.2,35.7,214.12,35.45,0.793976728,35.395,214.176
99,MSFT,01/12/2020 11:09,17/09/2021,190,C,0,35.25,35.65,214.194,35.45,0.793976728,35.43,214.1948
100,MSFT,01/12/2020 11:10,17/09/2021,190,C,0,35.25,35.6,214.13,35.425,0.793976728,35.44,214.1788
101,MSFT,01/12/2020 11:11,17/09/2021,190,C,0,35.25,35.6,214.14,35.425,0.793976728,35.44,214.1608
102,MSFT,01/12/2020 11:12,17/09/2021,190,C,0,35.25,35.7,214.28,35.475,0.793976728,35.445,214.1728
103,MSFT,01/12/2020 11:13,17/09/2021,190,C,0,35.25,35.55,214.14,35.4,0.793976728,35.435,214.1768
104,MSFT,01/12/2020 11:14,17/09/2021,190,C,0,35.25,35.6,214.14,35.425,0.793976728,35.43,214.166
105,MSFT,01/12/2020 11:15,17/09/2021,190,C,0,35.25,35.65,214.186,35.45,0.793976728,35.435,214.1772
106,MSFT,01/12/2020 11:16,17/09/2021,190,C,0,35.25,35.6,214.18,35.425,0.793976728,35.435,214.1852
107,MSFT,01/12/2020 11:17,17/09/2021,190,C,0,35.3,35.65,214.24,35.475,0.793976728,35.435,214.1772
108,MSFT,01/12/2020 11:18,17/09/2021,190,C,0,35.3,35.7,214.34,35.5,0.793976728,35.455,214.2172
109,MSFT,01/12/2020 11:19,17/09/2021,190,C,0,35.3,35.8,214.371,35.55,0.793976728,35.48,214.2634
110,MSFT,01/12/2020 11:20,17/09/2021,190,C,0,35.35,35.8,214.39,35.575,0.793976728,35.505,214.3042
111,MSFT,01/12/2020 11:21,17/09/2021,190,C,0,35.4,35.75,214.34,35.575,0.793976728,35.535,214.3362
112,MSFT,01/12/2020 11:22,17/09/2021,190,C,0,35.3,35.75,214.19,35.525,0.793976728,35.545,214.3262
113,MSFT,01/12/2020 11:23,17/09/2021,190,C,0,35.3,35.75,214.227,35.525,0.793976728,35.55,214.3036
114,MSFT,01/12/2020 11:24,17/09/2021,190,C,0,35.3,35.6,214.18,35.45,0.793976728,35.53,214.2654
115,MSFT,01/12/2020 11:25,17/09/2021,190,C,0,35.3,35.6,214.19,35.45,0.793976728,35.505,214.2254
116,MSFT,01/12/2020 11:26,17/09/2021,190,C,0,35.3,35.6,214.091,35.45,0.793976728,35.48,214.1756
117,MSFT,01/12/2020 11:27,17/09/2021,190,C,0,35.25,35.55,214.06,35.4,0.793976728,35.455,214.1496
118,MSFT,01/12/2020 11:28,17/09/2021,190,C,0,35,35.5,214.03,35.25,0.793976728,35.4,214.1102
119,MSFT,01/12/2020 11:29,17/09/2021,190,C,0,35.05,35.5,214.089,35.275,0.793976728,35.365,214.092
120,MSFT,01/12/2020 11:30,17/09/2021,190,C,0,35.15,35.45,213.99,35.3,0.793976728,35.335,214.052
121,MSFT,01/12/2020 11:31,17/09/2021,190,C,0,34.95,35.4,213.92,35.175,0.793976728,35.28,214.0178
122,MSFT,01/12/2020 11:32,17/09/2021,190,C,0,35,35.45,214.08,35.225,0.793976728,35.245,214.0218
123,MSFT,01/12/2020 11:33,17/09/2021,190,C,0,34.7,35.55,213.829,35.125,0.793976728,35.22,213.9816
124,MSFT,01/12/2020 11:34,17/09/2021,190,C,0,34.9,35.45,214.02,35.175,0.793976728,35.2,213.9678
125,MSFT,01/12/2020 11:35,17/09/2021,190,C,0,34.9,35.5,214.04,35.2,0.793976728,35.18,213.9778
126,MSFT,01/12/2020 11:36,17/09/2021,190,C,0,35.05,35.6,214.25,35.325,0.793976728,35.21,214.0438
127,MSFT,01/12/2020 11:37,17/09/2021,190,C,0,35.1,35.65,214.19,35.375,0.793976728,35.24,214.0658
128,MSFT,01/12/2020 11:38,17/09/2021,190,C,0,35.1,35.4,213.96,35.25,0.793976728,35.265,214.092
129,MSFT,01/12/2020 11:39,17/09/2021,190,C,0,35.1,35.5,213.98,35.3,0.793976728,35.29,214.084
130,MSFT,01/12/2020 11:40,17/09/2021,190,C,0,35.1,35.55,214.186,35.325,0.793976728,35.315,214.1132
131,MSFT,01/12/2020 11:41,17/09/2021,190,C,0,35.15,35.55,214.18,35.35,0.793976728,35.32,214.0992
132,MSFT,01/12/2020 11:42,17/09/2021,190,C,0,35.2,35.6,214.19,35.4,0.793976728,35.325,214.0992
133,MSFT,01/12/2020 11:43,17/09/2021,190,C,0,35.25,35.6,214.261,35.425,0.793976728,35.36,214.1594
134,MSFT,01/12/2020 11:44,17/09/2021,190,C,0,35.3,35.65,214.32,35.475,0.793976728,35.395,214.2274
135,MSFT,01/12/2020 11:45,17/09/2021,190,C,0,35.35,35.8,214.346,35.575,0.793976728,35.445,214.2594
136,MSFT,01/12/2020 11:46,17/09/2021,190,C,0,35.35,35.7,214.375,35.525,0.793976728,35.48,214.2984
