,underlying_symbol,quote_datetime,expiration,strike,option_type,close,bid,ask,active_underlying_price,mid_price,years_to_maturity,Option,Stock
80,AMZN,04/01/2021 10:50,22/01/2021,3345,P,0,163.1,166.55,3220.272,164.825,0.049281314,164.46,3219.803
81,AMZN,04/01/2021 10:51,22/01/2021,3345,P,0,162.6,166.25,3221.93,164.425,0.049281314,164.94,3219.494
82,AMZN,04/01/2021 10:52,22/01/2021,3345,P,0,162.9,166.25,3220.06,164.575,0.049281314,165.14,3219.306
83,AMZN,04/01/2021 10:53,22/01/2021,3345,P,0,163.6,166.6,3219.78,165.1,0.049281314,165.595,3219.0944
84,AMZN,04/01/2021 10:54,22/01/2021,3345,P,0,166.45,168.9,3216.81,167.675,0.049281314,165.32,3219.7704
85,AMZN,04/01/2021 10:55,22/01/2021,3345,P,0,165.15,167.05,3218.653,166.1,0.049281314,165.575,3219.4466
86,AMZN,04/01/2021 10:56,22/01/2021,3345,P,0,165.9,167.55,3217.96,166.725,0.049281314,166.035,3218.6526
87,AMZN,04/01/2021 10:57,22/01/2021,3345,P,0,166.85,169.4,3216,168.125,0.049281314,166.745,3217.8406
88,AMZN,04/01/2021 10:58,22/01/2021,3345,P,0,167.2,170.35,3216,168.775,0.049281314,167.48,3217.0846
89,AMZN,04/01/2021 10:59,22/01/2021,3345,P,0,169.2,171.1,3213.456,170.15,0.049281314,167.975,3216.4138
90,AMZN,04/01/2021 11:00,22/01/2021,3345,P,0,173.35,175.9,3207.5,174.625,0.049281314,169.68,3214.1832
91,AMZN,04/01/2021 11:01,22/01/2021,3345,P,0,170,172.9,3212.69,171.45,0.049281314,170.625,3213.1292
92,AMZN,04/01/2021 11:02,22/01/2021,3345,P,0,169.55,173.75,3212.68,171.65,0.049281314,171.33,3212.4652
93,AMZN,04/01/2021 11:03,22/01/2021,3345,P,0,170.3,174.15,3210.73,172.225,0.049281314,172.02,3211.4112
94,AMZN,04/01/2021 11:04,22/01/2021,3345,P,0,174.55,177.75,3206.1,176.15,0.049281314,173.22,3209.94
95,AMZN,04/01/2021 11:05,22/01/2021,3345,P,0,179.55,184.55,3199,182.05,0.049281314,174.705,3208.24
96,AMZN,04/01/2021 11:06,22/01/2021,3345,P,0,179.65,183.9,3199.04,181.775,0.049281314,176.77,3205.51
97,AMZN,04/01/2021 11:07,22/01/2021,3345,P,0,185.05,188,3194.32,186.525,0.049281314,179.745,3201.838
98,AMZN,04/01/2021 11:08,22/01/2021,3345,P,0,187.15,191.4,3190.35,189.275,0.049281314,183.155,3197.762
99,AMZN,04/01/2021 11:09,22/01/2021,3345,P,0,183.65,186.45,3196.98,185.05,0.049281314,184.935,3195.938
100,AMZN,04/01/2021 11:10,22/01/2021,3345,P,0,185.35,188.5,3195.989,186.925,0.049281314,185.91,3195.3358
101,AMZN,04/01/2021 11:11,22/01/2021,3345,P,0,186.6,189.55,3192.9,188.075,0.049281314,187.17,3194.1078
102,AMZN,04/01/2021 11:12,22/01/2021,3345,P,0,180.55,184.45,3199.605,182.5,0.049281314,186.365,3195.1648
103,AMZN,04/01/2021 11:13,22/01/2021,3345,P,0,178.55,181.15,3201.873,179.85,0.049281314,184.48,3197.4694
104,AMZN,04/01/2021 11:14,22/01/2021,3345,P,0,179,181.8,3203.323,180.4,0.049281314,183.55,3198.738
